Per Capita GDP at current prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
4,Afghanistan,157,160,136,144,175,188,199,226,249,278,275,266,270,274,279,282,286,251,231,284,296,257,249,177,131,189,175,164,154,140,176,173,195,214,232,264,290,390,395,449,558,645,695,681,651,611,584
8,Albania,1.053,1.058,1.064,1.070,1.076,1.082,1.090,1.096,1.105,903,799,810,818,811,784,783,788,762,770,904,654,488,468,533,599,770,1.035,719,823,1.034,1.117,1.258,1.397,1.788,2.317,2.615,2.913,3.531,4.306,4.065,4.056,4.405,4.219,4.377,4.529,3.877,4.054
12,Algeria,354,359,467,584,816,931,1.033,1.187,1.448,1.770,2.185,2.219,2.192,2.294,2.413,2.564,2.707,2.690,2.385,2.191,2.383,1.754,1.807,1.830,1.493,1.452,1.592,1.608,1.585,1.577,1.753,1.743,1.776,2.094,2.599,3.100,3.465,3.935,4.905,3.869,4.463,5.432,5.565,5.472,5.466,4.160,3.917
20,Andorra,4.098,4.426,5.336,6.761,7.996,9.071,9.050,9.807,11.552,14.956,15.660,13.125,12.161,10.151,9.780,9.837,13.111,15.963,18.100,19.191,23.886,24.714,25.999,20.900,20.542,23.359,24.064,23.224,23.908,24.372,21.937,22.229,24.743,32.775,38.505,41.281,43.747,48.580,47.787,43.337,39.734,41.101,38.391,40.622,42.293,36.040,36.987
24,Angola,562,579,578,689,753,540,504,534,579,623,801,723,698,703,719,860,784,879,923,1.046,1.123,1.290,1.433,1.005,1.001,466,594,678,556,516,742,704,870,979,1.248,1.891,2.585,3.108,4.069,3.103,3.586,4.616,5.102,5.258,5.413,4.133,3.711
660,Anguilla,609,711,833,935,1.023,1.112,1.060,1.180,1.357,1.565,1.809,2.104,2.450,2.849,3.301,4.072,5.100,6.078,7.228,8.553,9.071,8.968,9.403,9.940,10.776,10.583,10.891,11.907,13.143,13.648,13.546,13.623,13.466,14.123,16.304,18.129,22.031,27.017,26.521,20.826,19.459,20.960,19.825,19.721,21.533,22.597,22.861
28,Antigua and Barbuda,505,604,815,1.118,1.178,1.193,982,1.109,1.248,1.533,1.831,2.082,2.326,2.614,2.996,3.508,4.221,4.970,5.945,6.586,6.889,7.157,7.297,7.652,8.219,7.841,8.380,8.755,9.115,9.363,9.378,9.097,9.303,9.623,10.179,11.372,12.724,14.252,14.703,13.012,12.127,11.929,12.565,12.225,12.947,13.659,14.462
32,Argentina,1.418,1.669,1.530,1.645,1.858,1.985,2.061,2.294,2.341,2.673,2.912,2.965,3.002,3.198,3.325,3.144,3.718,3.764,4.325,2.574,4.680,6.194,7.367,7.522,8.081,7.993,8.330,8.861,8.944,8.388,8.315,7.775,2.919,3.666,4.285,5.125,5.925,7.249,9.055,8.244,10.346,12.727,13.812,14.417,13.193,14.603,12.449
51,Armenia,,,,,,,,,,,,,,,,,,,,,652,600,364,348,383,426,538,558,649,637,664,741,835,992,1.271,1.753,2.301,3.347,4.276,3.193,3.432,3.761,3.685,3.844,3.995,3.618,3.615
533,Aruba,2.991,3.130,3.275,3.426,3.592,3.775,3.981,4.209,4.453,4.700,4.941,5.163,5.370,5.578,5.816,6.108,6.473,7.886,9.765,11.392,12.307,13.496,14.047,14.937,17.342,16.442,16.585,17.927,19.081,19.356,20.621,20.671,20.434,20.835,22.568,23.303,24.046,25.836,27.086,24.631,23.513,24.984,24.710,25.018,25.528,25.807,25.444
36,Australia,3.518,3.854,4.464,6.358,7.481,7.882,8.394,8.225,9.492,10.389,11.836,13.613,12.767,12.616,13.332,11.570,11.967,13.980,17.413,19.058,19.030,19.100,18.672,17.962,20.285,21.717,23.866,23.687,20.901,22.625,21.470,20.245,22.362,28.390,34.022,37.674,39.802,47.091,49.492,46.550,58.490,68.449,69.303,66.301,62.093,52.238,54.069
40,Austria,2.045,2.365,2.910,3.880,4.614,5.245,5.622,6.750,8.135,9.706,10.783,9.341,9.375,9.485,8.937,9.112,12.988,16.254,17.409,17.316,21.552,22.359,24.910,24.122,25.612,30.169,29.592,26.489,27.143,26.975,24.389,24.369,26.233,32.007,36.622,38.282,40.554,46.762,51.606,47.807,46.599,50.961,48.068,50.138,51.184,44.024,44.857
31,Azerbaijan,,,,,,,,,,,,,,,,,,,,,901,910,710,551,446,396,404,500,557,569,649,696,753,870,1.027,1.551,2.431,3.788,5.538,4.963,5.857,7.211,7.521,7.902,7.917,5.519,3.892
44,Bahamas,4.283,4.442,4.475,4.979,5.217,6.028,6.428,7.523,8.459,9.785,9.577,10.743,10.582,10.159,10.779,12.271,13.512,14.742,16.168,18.142,18.426,17.777,17.430,17.012,17.622,18.264,20.466,21.861,24.248,26.174,27.112,27.439,28.727,28.092,28.076,29.875,30.275,31.018,30.188,28.130,27.979,27.472,28.816,28.303,28.374,29.056,28.785
48,Bahrain,1.985,2.065,2.512,3.425,4.459,4.444,6.007,7.071,7.570,8.518,10.460,11.359,11.575,11.545,11.753,10.669,8.629,8.465,8.971,9.309,9.899,10.196,10.385,11.090,11.663,12.040,12.199,12.296,11.403,11.912,13.636,12.868,13.050,14.222,15.846,17.959,19.308,20.977,23.068,19.357,20.722,22.512,23.649,24.737,24.983,22.689,22.579
50,Bangladesh,95,84,92,99,116,119,129,133,166,186,205,203,180,178,204,206,211,234,246,260,265,277,276,279,290,319,328,332,338,347,346,339,345,372,396,402,481,543,616,679,753,802,828,974,1.086,1.206,1.355
52,Barbados,904,1.011,1.150,1.394,1.656,1.935,2.088,2.362,2.631,3.175,4.058,4.451,4.637,4.910,5.337,5.569,6.096,6.690,7.090,7.812,7.815,7.725,7.441,7.821,8.194,8.585,9.120,9.604,10.788,11.264,11.568,11.514,11.675,12.028,12.869,14.223,14.393,16.392,16.738,15.609,15.613,15.982,16.091,15.755,15.574,15.704,15.975
112,Belarus,,,,,,,,,,,,,,,,,,,,,1.915,1.949,1.803,1.709,1.546,1.416,1.487,1.451,1.572,1.260,1.087,1.297,1.542,1.897,2.479,3.254,4.001,4.920,6.623,5.376,6.042,6.523,6.935,7.968,8.309,5.952,5.001
56,Belgium,2.788,3.103,3.859,4.938,5.780,6.757,7.299,8.484,10.348,11.867,12.920,10.656,9.362,8.855,8.459,8.746,12.153,15.107,16.385,16.543,20.629,21.080,23.422,22.327,24.243,28.428,27.561,24.923,25.456,25.372,23.138,23.049,24.976,30.616,35.391,36.727,38.588,44.102,48.115,44.614,44.205,47.853,44.921,46.713,47.336,40.326,41.199
84,Belize,206,256,327,523,686,784,609,772,870,999,1.351,1.307,1.183,1.213,1.315,1.268,1.344,1.586,1.759,1.979,2.162,2.264,2.408,2.684,2.738,2.834,3.001,2.953,2.992,3.064,3.364,3.419,3.557,3.680,3.832,3.933,4.187,4.325,4.470,4.259,4.344,4.516,4.674,4.689,4.852,4.850,4.745
204,Benin,111,115,138,166,174,206,214,229,271,321,399,368,349,293,273,264,328,372,374,337,400,392,428,419,284,397,419,390,410,404,374,379,419,519,583,602,626,706,820,793,758,826,834,911,931,800,818
60,Bermuda,5.079,5.693,6.280,7.116,8.174,8.942,9.933,10.701,11.495,13.274,15.834,17.203,19.068,21.096,22.060,24.241,26.731,29.060,30.838,32.481,33.398,34.483,34.863,36.919,38.190,40.780,43.089,46.360,49.290,52.141,54.355,57.219,60.938,64.537,68.926,74.745,82.507,90.880,95.608,92.359,91.552,88.397,88.406,90.330,91.372,95.528,99.363
64,Bhutan,207,215,220,240,274,248,245,262,244,265,314,344,353,387,370,369,422,490,512,479,509,434,442,422,503,562,589,674,665,721,766,808,886,998,1.098,1.247,1.335,1.741,1.795,1.770,2.179,2.458,2.422,2.351,2.523,2.614,2.774
68,Bolivia (Plurinational State of),224,238,272,260,428,479,537,528,565,599,630,680,676,657,663,664,647,667,697,701,710,764,791,788,806,887,958,1.007,1.059,1.013,1.007,958,914,917,978,1.046,1.234,1.390,1.737,1.777,1.981,2.378,2.645,2.948,3.124,3.077,3.105
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,1.737,1.399,1.117,888,714,529,747,1.034,1.156,1.278,1.511,1.577,1.826,2.305,2.753,2.968,3.404,4.181,5.078,4.701,4.615,5.054,4.722,5.043,5.204,4.584,4.808
72,Botswana,96,123,154,220,296,332,346,429,492,617,851,938,793,832,842,704,912,1.220,1.373,2.255,2.701,2.730,2.795,2.731,2.779,3.015,3.022,3.066,2.869,3.226,3.349,3.128,3.056,4.163,4.897,5.351,5.375,5.714,5.623,5.186,6.346,7.484,6.902,7.001,7.494,6.521,6.917
76,Brazil,369,402,506,699,875,1.004,1.159,1.317,1.461,1.573,1.577,1.819,1.881,1.312,1.322,1.381,1.627,1.749,1.917,2.560,2.724,2.491,2.346,2.590,3.635,4.794,5.152,5.261,5.017,3.439,3.722,3.155,2.842,3.063,3.623,4.770,5.860,7.314,8.788,8.553,11.224,13.167,12.292,12.217,12.027,8.757,8.649
92,British Virgin Islands,1.017,863,887,991,1.172,1.275,1.381,1.421,1.640,2.021,2.475,2.631,2.992,3.240,3.407,3.396,3.528,4.020,4.318,4.938,6.250,7.945,9.955,13.083,16.672,21.114,23.365,26.548,29.865,32.671,35.651,37.649,35.780,31.718,32.435,36.802,38.619,40.064,37.970,32.462,32.183,30.752,30.548,30.885,31.689,31.698,31.677
96,Brunei Darussalam,1.736,1.828,2.394,3.662,8.693,9.076,10.625,12.452,13.454,18.766,31.918,27.408,25.983,22.763,21.770,19.712,11.683,13.045,12.065,13.153,15.073,15.402,16.925,16.147,15.643,17.650,18.603,18.453,14.058,15.620,19.955,18.247,18.666,20.561,24.262,28.923,34.328,36.202,42.053,30.988,35.267,47.016,47.651,44.598,41.529,30.968,26.939
100,Bulgaria,1.058,1.040,1.209,1.434,1.551,1.363,1.439,1.467,1.584,1.063,1.221,1.396,1.513,1.623,1.735,1.837,1.953,2.127,2.449,2.472,2.344,958,1.092,1.391,1.262,1.723,1.219,1.363,1.798,1.674,1.645,1.775,2.069,2.689,3.352,3.857,4.476,5.869,7.245,6.959,6.835,7.806,7.373,7.674,7.855,6.994,7.465
854,Burkina Faso,80,80,101,114,124,145,136,161,203,267,283,256,230,205,178,203,259,294,316,308,356,350,365,338,195,238,252,232,258,267,227,237,261,332,371,407,421,475,570,553,575,667,674,700,704,575,627
108,Burundi,71,72,70,85,96,113,122,142,157,198,231,235,241,249,220,249,255,233,212,214,212,211,192,169,182,168,144,159,144,129,111,101,93,86,95,150,166,171,196,209,232,247,250,255,274,276,273
132,Cabo Verde,270,301,340,421,423,492,457,425,484,512,564,544,538,519,485,497,677,827,915,911,1.025,1.044,1.135,1.114,1.227,1.434,1.440,1.375,1.433,1.592,1.410,1.443,1.562,2.012,2.248,2.329,2.621,3.112,3.639,3.445,3.313,3.670,3.408,3.559,3.530,2.995,3.038
116,Cambodia,110,108,104,87,89,96,103,96,106,103,107,116,120,126,132,137,141,171,199,200,189,242,249,244,259,311,319,305,270,296,302,322,339,363,409,474,540,632,746,738,786,882,950,1.028,1.099,1.163,1.270
120,Cameroon,202,220,277,366,381,486,515,586,749,968,1.171,1.066,1.037,1.050,1.002,955,1.132,1.196,1.133,1.013,1.094,1.021,1.011,1.040,587,716,748,697,732,728,658,665,732,892,1.006,1.030,1.081,1.216,1.397,1.339,1.309,1.430,1.381,1.494,1.571,1.354,1.374
124,Canada,4.097,4.553,5.104,5.836,7.023,7.507,8.807,8.914,9.105,10.012,11.161,12.352,12.519,13.462,13.897,14.098,14.402,16.233,18.827,20.678,21.448,21.762,20.870,20.103,19.917,20.594,21.219,21.831,20.937,22.200,24.151,23.736,24.199,28.216,32.025,36.218,40.295,44.366,46.373,40.579,47.221,51.787,52.271,52.265,50.355,43.194,42.154
136,Cayman Islands,2.578,3.081,3.873,4.750,5.202,5.827,6.536,7.336,8.262,9.357,10.667,12.250,14.137,19.100,20.739,21.544,22.570,25.038,28.951,31.421,37.181,37.037,37.556,38.596,39.938,40.930,41.940,43.031,53.254,54.738,54.630,53.936,54.464,54.898,56.274,62.559,64.101,68.295,67.031,61.481,58.859,59.191,59.282,59.593,61.332,62.264,63.261
140,Central African Republic,151,158,177,204,208,274,319,351,412,461,510,443,404,345,321,344,435,456,471,449,513,478,477,421,273,348,307,279,281,284,255,254,265,300,328,342,366,410,468,461,457,506,498,348,389,359,394
148,Chad,98,104,106,114,130,184,169,168,196,174,175,201,184,192,202,194,232,255,289,264,308,296,299,252,198,235,254,234,258,216,189,224,251,331,517,664,715,779,932,819,824,943,1.102,1.051,1.082,835,780
152,Chile,1.012,1.189,1.261,1.766,1.684,771,1.036,1.383,1.569,2.081,2.727,3.220,2.266,1.840,1.796,1.559,1.648,1.892,2.171,2.435,2.637,2.965,3.528,3.689,4.161,5.253,5.446,5.873,5.556,5.045,5.134,4.626,4.487,4.816,6.214,7.615,9.485,10.527,10.781,10.243,12.860,14.706,15.432,15.941,14.817,13.653,13.794
156,China,109,115,126,152,155,172,163,179,223,268,307,289,280,297,301,292,278,297,364,400,340,349,412,512,461,594,694,767,815,860,947,1.041,1.138,1.279,1.496,1.747,2.087,2.672,3.425,3.788,4.461,5.501,6.232,6.968,7.578,8.036,7.993
344,"China, Hong Kong SAR",984,1.133,1.428,1.977,2.268,2.372,2.956,3.496,3.942,4.703,5.872,6.186,6.322,5.769,6.373,6.688,7.572,9.177,10.644,12.070,13.306,15.196,17.616,20.115,22.429,23.559,25.588,27.901,26.087,25.194,25.762,25.200,24.610,23.794,24.858,26.593,28.211,30.673,31.595,30.652,32.545,35.171,36.957,38.567,40.511,42.702,43.943
446,"China, Macao SAR",676,802,982,1.350,1.571,1.839,1.849,2.390,3.147,3.580,4.233,4.372,4.500,4.297,4.751,4.756,5.132,6.297,7.072,8.060,9.365,10.558,13.461,15.190,16.578,18.139,18.097,17.958,16.451,15.505,15.703,15.548,16.313,17.810,22.453,25.059,29.980,36.403,40.668,40.881,52.375,66.813,76.497,89.525,94.004,75.485,74.018
170,Colombia,462,489,531,614,721,748,856,1.062,1.240,1.457,1.702,1.813,1.897,1.844,1.782,1.590,1.560,1.590,1.681,1.662,1.661,1.669,1.755,1.995,2.588,2.946,3.044,3.291,2.994,2.584,2.472,2.396,2.356,2.245,2.740,3.386,3.709,4.674,5.434,5.148,6.251,7.228,7.885,8.031,7.913,6.045,5.806
174,Comoros,163,177,204,267,294,444,424,452,564,727,841,754,686,695,652,675,931,1.093,1.121,1.042,1.241,1.213,1.271,1.222,837,1.016,983,880,871,877,778,820,897,1.127,1.276,1.287,1.335,1.482,1.631,1.587,1.549,1.627,1.589,1.699,1.728,1.421,1.445
178,Congo,192,213,248,321,376,430,433,419,506,668,927,1.052,1.107,1.044,1.061,1.016,845,1.022,957,1.021,1.147,1.087,1.138,1.014,653,756,882,784,631,751,998,843,886,998,1.289,1.637,2.012,1.870,2.473,2.195,2.800,3.279,2.947,2.951,2.890,1.700,1.517
184,Cook Islands,478,476,498,652,779,782,758,910,1.094,1.284,1.447,1.507,1.512,1.487,1.534,1.591,2.037,2.574,3.257,3.268,3.624,3.914,4.006,4.442,5.247,5.588,5.677,5.288,4.681,5.059,5.056,5.252,5.946,7.979,9.142,9.262,9.538,11.682,12.151,11.379,13.758,15.682,16.788,16.972,18.056,16.350,16.698
188,Costa Rica,677,722,809,974,1.036,1.189,1.426,1.770,1.977,2.206,2.572,1.360,1.315,1.545,1.750,1.827,2.000,2.007,1.993,2.201,2.345,2.257,2.618,2.855,3.045,3.278,3.231,3.408,3.614,3.688,3.808,3.982,4.062,4.168,4.425,4.697,5.245,6.121,6.911,6.809,8.199,9.187,9.985,10.570,10.647,11.406,11.825
384,Côte d'Ivoire,286,291,326,422,487,589,673,864,1.042,1.152,1.227,973,837,725,696,683,862,915,898,905,969,907,914,819,590,764,810,759,796,771,640,657,711,866,920,932,952,1.066,1.242,1.218,1.220,1.228,1.251,1.424,1.567,1.421,1.552
191,Croatia,,,,,,,,,,,,,,,,,,,,,3.479,2.847,2.585,2.761,3.726,4.849,5.176,5.256,5.662,5.248,4.917,5.283,6.115,7.897,9.483,10.374,11.540,13.773,16.187,14.429,13.823,14.461,13.165,13.578,13.536,11.668,12.159
192,Cuba,653,780,901,1.088,1.224,1.380,1.445,1.474,1.837,2.003,2.025,2.039,2.111,2.228,2.400,2.273,2.383,2.455,2.645,2.577,2.707,2.280,2.058,2.072,2.622,2.790,2.282,2.303,2.326,2.553,2.741,2.832,2.994,3.193,3.391,3.779,4.669,5.184,5.376,5.485,5.676,6.122,6.426,6.760,7.050,7.609,7.815
531,Curaçao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.120,18.632,19.143,20.278,19.934,19.994,20.178,20.467,20.321,20.180,19.948,19.586
196,Cyprus,1.004,1.162,1.397,1.681,1.818,1.571,1.832,2.337,3.045,3.961,4.750,4.527,4.643,4.589,4.767,5.011,6.329,7.501,8.563,9.015,10.802,10.860,12.680,11.801,13.013,15.265,15.154,14.225,15.083,15.283,14.364,14.816,16.042,20.240,23.773,25.311,27.172,31.353,35.392,32.104,30.817,32.236,28.985,27.944,27.400,23.231,23.631
203,Czech Republic,,,,,,,,,,,,,,,,,,,,,3.899,2.857,3.338,3.905,4.571,5.748,6.451,5.960,6.429,6.279,5.974,6.560,7.969,9.698,11.619,13.257,15.072,18.232,22.564,19.618,19.648,21.568,19.588,19.765,19.608,17.619,18.406
200,Czechoslovakia (Former),1.135,1.181,1.346,1.580,1.682,1.842,1.802,2.563,2.802,2.992,3.116,3.297,3.315,3.286,2.967,2.963,3.473,3.892,3.839,3.758,3.653,,,,,,,,,,,,,,,,,,,,,,,,,,
408,D.P.R. of Korea,386,415,446,480,518,561,574,589,605,622,638,652,807,793,744,722,805,836,764,811,735,663,593,503,384,222,479,462,456,452,462,476,468,471,473,548,575,597,551,494,570,638,643,666,696,648,665
180,D.R. of the Congo,239,259,279,346,411,426,390,485,669,638,593,511,497,412,242,252,283,235,261,429,434,395,348,437,229,215,214,215,220,191,177,173,175,174,194,219,256,287,328,299,334,387,425,458,487,498,512
208,Denmark,3.463,3.847,4.655,6.125,6.776,7.995,8.773,9.767,11.813,13.747,13.881,12.073,11.792,11.846,11.553,12.252,17.221,21.381,22.558,21.911,26.891,27.008,29.568,27.587,29.966,35.356,35.707,32.881,33.392,33.441,30.734,30.756,33.248,40.486,46.527,48.779,51.960,58.396,64.273,58.128,57.967,61.618,58.308,60.943,62.323,52.964,53.730
262,Djibouti,414,441,501,588,688,699,752,726,717,786,839,853,867,857,880,868,872,832,818,783,774,768,783,780,821,808,771,743,731,766,775,788,799,827,864,905,965,1.048,1.186,1.211,1.254,1.334,1.424,1.553,1.742,1.873,2.007
212,Dominica,324,360,386,443,525,551,533,587,721,701,930,1.041,1.136,1.267,1.435,1.586,1.819,2.058,2.406,2.604,2.794,2.967,3.202,3.335,3.578,3.639,3.935,4.105,4.374,4.539,4.612,4.709,4.635,4.812,5.325,5.245,5.618,6.042,6.600,7.005,6.912,6.991,6.746,6.933,7.195,7.314,7.907
214,Dominican Republic,413,450,523,600,729,875,936,1.061,1.069,1.212,1.428,1.530,1.640,1.736,2.040,866,1.026,940,841,1.188,1.326,1.347,1.532,1.706,1.818,1.995,2.127,2.407,2.516,2.594,2.798,2.898,2.905,2.274,2.442,3.844,4.048,4.606,4.946,4.921,5.368,5.759,5.969,6.027,6.269,6.468,6.722
218,Ecuador,471,441,495,588,970,1.106,1.266,1.495,1.574,1.823,2.241,2.664,2.373,1.992,1.916,1.895,1.651,1.467,1.340,1.392,1.491,1.623,1.689,1.729,2.027,2.135,2.158,2.360,2.299,1.584,1.451,1.904,2.184,2.440,2.709,3.022,3.351,3.591,4.275,4.256,4.657,5.223,5.702,6.074,6.432,6.205,5.982
818,Egypt,232,241,252,256,296,324,374,466,558,363,456,298,340,398,442,474,480,516,547,586,627,667,763,826,905,1.032,1.139,1.233,1.293,1.339,1.369,1.274,1.192,1.001,1.050,1.230,1.378,1.662,2.036,2.279,2.552,2.690,3.115,2.988,3.235,3.388,2.823
222,El Salvador,280,287,299,337,389,432,538,662,697,765,779,743,759,847,960,1.164,816,916,1.069,1.243,914,997,1.103,1.267,1.458,1.693,1.819,1.944,2.078,2.140,2.238,2.339,2.408,2.520,2.633,2.835,3.063,3.305,3.507,3.366,3.474,3.737,3.828,3.896,3.989,4.127,4.224
226,Equatorial Guinea,68,72,71,94,105,134,144,163,186,208,218,194,214,223,209,246,298,349,372,333,398,389,445,424,339,427,649,1.200,967,1.555,2.459,3.451,4.077,5.324,7.755,11.250,12.732,15.762,22.742,16.530,17.136,21.452,21.558,20.247,19.246,10.717,8.742
232,Eritrea,,,,,,,,,,,,,,,,,,,,,107,123,140,163,204,207,240,247,251,240,208,215,202,233,287,277,298,317,326,431,482,583,678,753,854,987,1.093
233,Estonia,,,,,,,,,,,,,,,,,,,,,3.589,3.450,2.832,2.793,2.855,3.086,3.346,3.594,3.991,4.085,4.067,4.487,5.295,7.163,8.844,10.330,12.579,16.541,18.038,14.718,14.640,17.442,17.392,19.021,19.892,17.157,17.782
231,Ethiopia,,,,,,,,,,,,,,,,,,,,,233,257,198,138,129,132,139,140,123,113,121,116,109,117,133,159,190,234,308,330,300,338,457,490,556,632,687
230,Ethiopia (Former),85,87,92,104,114,110,118,132,139,150,156,160,160,170,195,221,223,231,218,216,225,249,195,139,,,,,,,,,,,,,,,,,,,,,,,
242,Fiji,424,465,584,769,989,1.188,1.185,1.204,1.363,1.643,1.897,1.901,1.789,1.641,1.684,1.605,1.799,1.634,1.538,1.734,1.838,1.884,2.062,2.171,2.388,2.570,2.695,2.678,2.099,2.442,2.105,2.066,2.289,2.871,3.374,3.627,3.718,4.047,4.177,3.369,3.652,4.353,4.547,4.763,5.062,4.890,5.197
246,Finland,2.444,2.685,3.146,4.134,5.256,6.218,6.699,7.034,7.607,9.300,11.213,10.913,10.926,10.492,10.827,11.385,14.925,18.528,21.992,23.921,28.326,25.474,22.325,17.598,20.270,26.215,25.716,24.618,25.935,26.125,24.198,24.853,26.769,32.726,37.537,38.873,41.031,48.201,53.338,47.071,46.181,50.782,47.424,49.660,49.931,42.401,43.339
